filepath,total_lines,covered_lines,uncovered_lines,coverage_percent,total_branches,covered_branches,uncovered_branches,branch_coverage_percent
constants/constants.js,32,32,0,100.0,0,0,0,0
src/app/controllers/index.js,10,10,0,100.0,0,0,0,0
src/app/controllers/analytics/analyitcs-controller.js,13,5,8,38.46,0,0,0,0
src/app/controllers/analytics/analytics-routes.js,24,13,11,54.17,6,0,6,0.0
src/app/controllers/analytics/analytics-service.js,88,10,78,11.36,6,0,6,0.0
src/app/controllers/analytics/analytics-validator.js,3,3,0,100.0,0,0,0,0
src/app/controllers/indexing-configuration/configuration-routes.js,156,40,116,25.64,113,16,97,14.16
src/app/controllers/open-search/os-controller.js,115,23,92,20.0,33,0,33,0.0
src/app/controllers/open-search/os-routes.js,144,35,109,24.31,23,0,23,0.0
src/app/controllers/open-search/os-service.js,106,12,94,11.32,30,0,30,0.0
src/app/controllers/open-search/os-validator.js,5,5,0,100.0,0,0,0,0
src/app/controllers/running-process-details/running-process-details-controller.js,9,4,5,44.44,0,0,0,0
src/app/controllers/running-process-details/running-process-details-route.js,11,7,4,63.64,0,0,0,0
src/app/controllers/search-client/client-routes.js,28,8,20,28.57,10,0,10,0.0
src/app/controllers/service-details/service-deatils-route.js,8,6,2,75.0,0,0,0,0
src/app/controllers/service-details/service-details-controller.js,16,7,9,43.75,2,0,2,0.0
src/app/controllers/tenant-cluster/tenant-routes.js,23,10,13,43.48,4,0,4,0.0
src/app/controllers/vectorisation-status/status-routes.js,20,6,14,30.0,4,0,4,0.0
src/app/request-validator/joi-validator.js,25,7,18,28.0,10,0,10,0.0
src/constants/application-constants.js,1,1,0,100.0,0,0,0,0
src/constants/open-search-constants.js,1,1,0,100.0,0,0,0,0
src/database/indexer/index-service.js,81,34,47,41.98,0,0,0,0
src/database/indexer/elasticsearch/es-lib.js,69,15,54,21.74,20,0,20,0.0
src/database/indexer/opensearch/os-common-lib.js,138,20,118,14.49,42,0,42,0.0
src/database/indexer/opensearch/os-constants.js,7,7,0,100.0,0,0,0,0
src/database/indexer/opensearch/os-controller.js,241,19,222,7.88,134,0,134,0.0
src/database/indexer/opensearch/os-data-transform.js,50,4,46,8.0,35,0,35,0.0
src/database/indexer/opensearch/os-lib.js,564,69,495,12.23,201,0,201,0.0
src/database/indexer/opensearch/os-settings.js,8,8,0,100.0,8,4,4,50.0
src/database/indexer/opensearch/os-util.js,80,19,61,23.75,24,0,24,0.0
src/database/indexer/opensearch/scripts/version-mapping-process.js,132,15,117,11.36,98,0,98,0.0
src/database/mongo/index.js,78,56,22,71.79,8,4,4,50.0
src/database/mongo/models/audit-logs.js,3,3,0,100.0,0,0,0,0
src/database/mongo/models/auto-boosting.js,4,4,0,100.0,0,0,0,0
src/database/mongo/models/content-source.js,6,6,0,100.0,0,0,0,0
src/database/mongo/models/facet-interpreter.js,3,3,0,100.0,0,0,0,0
src/database/mongo/models/gpu-details.js,3,3,0,100.0,0,0,0,0
src/database/mongo/models/indexing-configuration.js,8,8,0,100.0,0,0,0,0
src/database/mongo/models/merge-fields.js,4,4,0,100.0,0,0,0,0
src/database/mongo/models/search-clients.js,12,12,0,100.0,0,0,0,0
src/database/mongo/models/spell-corrector.js,3,3,0,100.0,0,0,0,0
src/database/mongo/models/tenant-info.js,6,6,0,100.0,0,0,0,0
src/database/mongo/models/vector-scprogress.js,5,5,0,100.0,0,0,0,0
src/database/mongo/models/vectorization-info.js,3,3,0,100.0,0,0,0,0
src/database/mongo/repositories/audit-logs.js,11,4,7,36.36,2,0,2,0.0
src/database/mongo/repositories/auto-boosting.js,20,5,15,25.0,8,0,8,0.0
src/database/mongo/repositories/content-source.js,455,55,400,12.09,126,0,126,0.0
src/database/mongo/repositories/facet-interpreter.js,12,4,8,33.33,0,0,0,0
src/database/mongo/repositories/gpu-details.js,48,9,39,18.75,12,0,12,0.0
src/database/mongo/repositories/index.js,14,14,0,100.0,0,0,0,0
src/database/mongo/repositories/indexing-configuration.js,55,12,43,21.82,6,0,6,0.0
src/database/mongo/repositories/merge-field-repo.js,36,6,30,16.67,4,0,4,0.0
src/database/mongo/repositories/os-clusters.js,31,8,23,25.81,4,0,4,0.0
src/database/mongo/repositories/search-clients.js,125,16,109,12.8,45,0,45,0.0
src/database/mongo/repositories/searchable-field-vectorization.js,70,8,62,11.43,31,0,31,0.0
src/database/mongo/repositories/spell-corrector.js,13,4,9,30.77,0,0,0,0
src/database/mongo/repositories/vector-scprogress-repo.js,354,35,319,9.89,122,0,122,0.0
src/database/mongo/repositories/vectorization-info.js,33,7,26,21.21,4,0,4,0.0
src/database/mongoDb/mongo-lib.js,97,12,85,12.37,22,0,22,0.0
src/database/mongoDb/mongoUtil.js,89,38,51,42.7,21,2,19,9.52
src/database/mysql/index.js,15,6,9,40.0,3,0,3,0.0
src/database/postgres/index.js,24,11,13,45.83,0,0,0,0
src/database/redis/redis-client.js,33,12,21,36.36,8,2,6,25.0
src/dto/Error.js,4,1,3,25.0,2,0,2,0.0
src/dto/Response.js,5,1,4,20.0,2,0,2,0.0
src/dto/index.js,3,3,0,100.0,0,0,0,0
src/lib/child-process-lib.js,9,6,3,66.67,0,0,0,0
src/lib/fs-lib.js,66,19,47,28.79,2,0,2,0.0
src/lib/process-initializer/child-process-lib.js,19,7,12,36.84,0,0,0,0
src/lib/process-initializer/index.js,2,2,0,100.0,0,0,0,0
src/lib/process-initializer/kube-process-lib.js,16,5,11,31.25,8,0,8,0.0
src/lib/process-initializer/process-initializer.js,29,15,14,51.72,8,0,8,0.0
src/middlewares/data-Validation.js,22,7,15,31.82,8,0,8,0.0
src/middlewares/prototypes.js,6,2,4,33.33,2,1,1,50.0
src/middlewares/socket-auth.js,26,6,20,23.08,10,0,10,0.0
src/services/index.js,4,4,0,100.0,0,0,0,0
src/services/child-process-services/track-child-processes.js,40,20,20,50.0,8,0,8,0.0
src/services/embedding-services/common-utils.js,18,8,10,44.44,4,0,4,0.0
src/services/embedding-services/index.js,2,2,0,100.0,0,0,0,0
src/services/embedding-services/update-embeddings.js,340,43,297,12.65,153,1,152,0.65
src/services/embedding-services/vector-average.js,161,26,135,16.15,71,0,71,0.0
src/services/indexing-service/base-service.js,61,13,48,21.31,10,0,10,0.0
src/services/indexing-service/context-creator.js,77,19,58,24.68,20,0,20,0.0
